Hex,CSC12,CSC14,CSC6,CSC8,Noncertified1,Noncertified11,Noncertified16,Noncertified2,Noncertified5,Noncertified7,Noncertified9,PSC13,PSC15,PSC4,TCSC10
I-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
I-16,0.0,0.0,0.0,0.025,0.0,0.85,0.0125,0.075,0.0,0.0,0.0125,0.0,0.0,0.025,0.0
I-17,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I-2,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.25,0.0,0.0
I-3,0.0,0.0,0.0,0.0,0.17543859649122806,0.2982456140350877,0.0,0.0,0.0,0.43859649122807015,0.0,0.0,0.05263157894736842,0.03508771929824561,0.0
I-4,0.0,0.0,0.0,0.0,0.375,0.375,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
I-5,0.0,0.0,0.0,0.0,0.4090909090909091,0.5454545454545454,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
I-6,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0
I-7,0.0,0.0,0.0,0.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I-8,0.0,0.0,0.0,0.0,0.03125,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
I-9,0.0,0.0,0.0,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J-10,0.0,0.0,0.0,0.0,0.0,0.9041666666666667,0.058333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0
J-11,0.0,0.0,0.0018018018018018018,0.0,0.0036036036036036037,0.9387387387387387,0.032432432432432434,0.0,0.0,0.0,0.0,0.0018018018018018018,0.0036036036036036037,0.018018018018018018,0.0
J-12,0.0,0.0,0.0,0.0,0.0,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0
J-13,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.14285714285714285,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J-14,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
J-15,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0
J-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J-17,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
J-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
J-3,0.0,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.09090909090909091,0.0
J-4,0.0,0.0,0.0,0.0,0.07964601769911504,0.48672566371681414,0.12389380530973451,0.0,0.0,0.24778761061946902,0.0,0.017699115044247787,0.035398230088495575,0.008849557522123894,0.0
J-5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.125,0.0,0.0,0.08333333333333333,0.041666666666666664,0.0
J-6,0.0,0.0,0.0,0.0,0.027777777777777776,0.8055555555555556,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.05555555555555555,0.027777777777777776
J-7,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.07407407407407407,0.0,0.0
J-8,0.0,0.0,0.0,0.0,0.03125,0.9375,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0
J-9,0.0,0.0,0.0,0.0,0.0,0.9534883720930233,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0
K-10,0.002173913043478261,0.0,0.0,0.0,0.0,0.9434782608695652,0.015217391304347827,0.0,0.0,0.0,0.002173913043478261,0.008695652173913044,0.010869565217391304,0.015217391304347827,0.002173913043478261
K-11,0.0,0.0,0.0,0.002232142857142857,0.0,0.9263392857142857,0.04241071428571429,0.0,0.0,0.002232142857142857,0.002232142857142857,0.006696428571428571,0.0,0.017857142857142856,0.0
K-12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K-13,0.0,0.0,0.0,0.0,0.0,0.875,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
K-14,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
K-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K-18,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
K-19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
K-3,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
K-4,0.0,0.0,0.0,0.0,0.05263157894736842,0.8421052631578947,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
K-5,0.0,0.0,0.0,0.0,0.05714285714285714,0.7142857142857143,0.0,0.0,0.0,0.22857142857142856,0.0,0.0,0.0,0.0,0.0
K-6,0.0,0.0,0.0,0.0,0.0625,0.625,0.0625,0.0,0.0,0.0625,0.0,0.0,0.1875,0.0,0.0
K-7,0.0,0.0,0.0,0.0,0.0,0.896551724137931,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.0
K-8,0.0,0.0,0.0,0.0,0.0,0.9032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.06451612903225806,0.0
K-9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-12,0.0,0.0,0.0,0.017543859649122806,0.0,0.8771929824561403,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.017543859649122806,0.05263157894736842,0.0
L-13,0.0,0.0,0.0,0.05555555555555555,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
L-14,0.0,0.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-15,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0
L-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-17,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-18,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
L-19,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
L-20,0.0,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
L-21,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
L-22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-4,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.25,0.0,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0
L-5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-6,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
L-7,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
L-8,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-11,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0
M-12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-13,0.0,0.0,0.0,0.125,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-17,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
M-18,0.0,0.0,0.0,0.0625,0.0,0.6875,0.0,0.0,0.0,0.0,0.1875,0.0625,0.0,0.0,0.0
M-19,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
M-20,0.0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0
M-21,0.0,0.0,0.0,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
M-22,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0
M-4,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-7,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-10,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0
N-11,0.0,0.0,0.0,0.0,0.0,0.9615384615384616,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0
N-12,0.0,0.0,0.0,0.14285714285714285,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
N-13,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-15,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0
N-16,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
N-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
N-19,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.6538461538461539,0.0,0.0,0.0,0.0,0.23076923076923078,0.038461538461538464,0.0,0.0,0.0
N-20,0.0,0.0,0.0,0.09090909090909091,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0
N-5,0.0,0.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
N-7,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-8,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.0,0.0
N-9,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
O-10,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
O-11,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
